id,first_name,last_name,username,password,department,title,phone,email,address,city,state,zip,company,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,OU
488,Ronny,Riddeough,ronriddeough,quebracho,Training,Account Executive,(713) 8096317,rriddeoughdj@youku.com,2 Moland Place,Houston,texas,77218,Gibson-Wilderman,Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
572,Bartholemy,Corbally,barcorbally,exactness,Product Management,Account Executive,(361) 8274829,bcorballyfv@stumbleupon.com,4 Corben Drive,Corpus Christi,texas,78405,Muller Inc,Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
580,Dalia,Dwight,daldwight,dropsied,Accounting,Account Executive,(806) 4028773,ddwightg3@163.com,41507 Knutson Crossing,Amarillo,texas,79176,"Gibson, Grady and Moen",Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
589,Otto,Bodega,ottbodega,suckfish,Sales,Account Executive,(806) 4557690,obodegagc@goodreads.com,977 Tennyson Court,Amarillo,texas,79159,"Flatley, Pfannerstill and Haley",Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
671,Oralie,Laurenceau,oralaurenceau,dishevel,Research and Development,Account Executive,(806) 3925048,olaurenceauim@usnews.com,994 Old Shore Center,Lubbock,texas,79410,Graham-Morar,Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
738,Anselma,Collington,anscollington,miscite,Engineering,Account Executive,(713) 2634443,acollingtonkh@ask.com,27 Shasta Drive,Spring,texas,77388,"Parker, Howell and Renner",Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
866,Ricard,Bernardeau,ricbernardeau,interior,Business Development,Account Executive,(210) 3465444,rbernardeauo1@123-reg.co.uk,6239 Northfield Alley,San Antonio,texas,78215,Hettinger and Sons,Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
131,Gisela,Augustin,gisaugustin,examinees,Services,Account Representative I,(361) 9120212,gaugustin3m@list-manage.com,04 Crest Line Pass,Corpus Christi,texas,78426,"O'Keefe, Metz and Hermann",Employees,Interns,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
462,Dinnie,Duiguid,dinduiguid,rejacket,Marketing,Account Representative I,(682) 3677098,dduiguidct@goo.ne.jp,958 Dwight Circle,Arlington,texas,76011,Hettinger-Bartell,Employees,Interns,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
588,Yorker,Brightman,yorbrightman,gladness,Legal,Account Representative II,(214) 6766350,ybrightmangb@eepurl.com,9464 Huxley Avenue,Dallas,texas,75241,Kemmer-Lubowitz,Employees,,,,,,,,,,"ou=Legal,ou=Employees,ou=Accounts"
707,Brande,Joseff,brajoseff,household,Sales,Account Representative II,(214) 7148148,bjoseffjm@exblog.jp,90859 Di Loreto Park,Dallas,texas,75323,"MacGyver, Kreiger and Von",Employees,,,,,,,,,,"ou=Sales,ou=Employees,ou=Accounts"
759,Nataline,Cromb,natcromb,queries,Research and Development,Account Representative II,(915) 5841488,ncrombl2@cnn.com,8646 Dovetail Street,El Paso,texas,79968,Paucek LLC,Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
287,Lindy,Hidderley,linhidderley,charlock,Marketing,Account Representative III,(512) 9150060,lhidderley7y@parallels.com,6202 Fulton Alley,Austin,texas,78737,"Wisozk, O'Keefe and Lind",Employees,,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
213,Percival,Lehrmann,perlehrmann,drillable,Training,Account Representative IV,(832) 9347248,plehrmann5w@unc.edu,13179 Little Fleur Street,Houston,texas,77065,"O'Conner, Batz and Grant",Employees,Managers,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
621,Benoite,MacCorkell,benmaccorkell,lambasted,Training,Account Representative IV,(915) 1481266,bmaccorkellh8@paginegialle.it,4471 Washington Terrace,El Paso,texas,79905,"Kirlin, Mann and Flatley",Employees,Managers,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
299,Svend,Peller,svepeller,mincier,Training,Accountant I,(915) 2617189,speller8a@youku.com,66481 Raven Center,El Paso,texas,79950,Goldner-Hackett,Employees,Interns,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
302,Kailey,Spira,kaispira,kinglike,Services,Accountant I,(469) 9370280,kspira8d@storify.com,6 Lerdahl Street,Dallas,texas,75205,"McLaughlin, Ebert and Dooley",Employees,Interns,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
501,Joby,Cheevers,jobcheevers,airwave,Accounting,Accountant I,(512) 5995426,jcheeversdw@yellowbook.com,86438 Sloan Way,Austin,texas,78764,"Baumbach, Rempel and Howe",Employees,Interns,,,,,,,,,"ou=Accounting,ou=Employees,ou=Accounts"
665,Sunshine,Luchelli,sunluchelli,stocker,Marketing,Accountant I,(915) 6292521,sluchelliig@amazonaws.com,15 Armistice Circle,El Paso,texas,79945,McClure-Schultz,Employees,Interns,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
701,Demetria,Holberry,demholberry,closured,Research and Development,Accountant I,(832) 3087701,dholberryjg@economist.com,03 Barby Street,Spring,texas,77388,Crist-Schiller,Employees,Interns,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
729,Mab,Netting,mabnetting,raciest,Marketing,Accountant I,(713) 5940026,mnettingk8@jalbum.net,161 Lien Junction,Houston,texas,77250,Wilderman-Boyer,Employees,Interns,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
2,Sampson,Wasylkiewicz,samwasylkiewicz,rundlets,Training,Accountant II,(325) 4120647,swasylkiewicz1@nytimes.com,50 Novick Crossing,Abilene,texas,79605,McKenzie-Brakus,Employees,,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
180,Gradey,Fillis,grafillis,puggree,Product Management,Accountant II,(915) 4753517,gfillis4z@microsoft.com,567 Sachs Junction,El Paso,texas,88514,Padberg-Erdman,Employees,,,,,,,,,,"ou=Product Management,ou=Employees,ou=Accounts"
771,Beale,Cronin,beacronin,nursemaid,Engineering,Accountant III,(915) 3877167,bcroninle@sitemeter.com,312 Nelson Point,El Paso,texas,79977,"Walker, Howe and Greenholt",Employees,,,,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
775,Tilda,Bletsor,tilbletsor,whistles,Business Development,Accountant III,(409) 3806858,tbletsorli@tumblr.com,03 Marquette Street,Beaumont,texas,77705,Murphy-Kovacek,Employees,,,,,,,,,,"ou=Business Development,ou=Employees,ou=Accounts"
967,Aguste,Burtwell,aguburtwell,gynarchy,Support,Accountant III,(915) 4075786,aburtwellqu@technorati.com,6 Rusk Place,El Paso,texas,88530,Fritsch-McKenzie,Employees,,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
341,Lonee,Hockell,lonhockell,drinkings,Services,Accountant IV,(806) 9371786,lhockell9g@fc2.com,49311 Bartelt Pass,Amarillo,texas,79165,Hickle LLC,Employees,Managers,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
698,Kerstin,Salkild,kersalkild,writhing,Sales,Accountant IV,(713) 2170839,ksalkildjd@mozilla.com,0858 Walton Hill,Houston,texas,77271,Monahan-Breitenberg,Employees,Managers,,,,,,,,,"ou=Sales,ou=Employees,ou=Accounts"
722,Veriee,Ricardon,verricardon,jetting,Services,Accountant IV,(432) 7525403,vricardonk1@ow.ly,32 Kinsman Crossing,Midland,texas,79710,Shanahan Inc,Employees,Managers,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
794,Samaria,Alexsandrovich,samalexsandrovich,amidships,Engineering,Accountant IV,(915) 1671656,salexsandrovichm1@irs.gov,60762 Petterle Crossing,El Paso,texas,88563,Paucek-Heller,Employees,Managers,,,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
926,Sherwynd,Eberlein,sheeberlein,shoetree,Sales,Accountant IV,(281) 4142092,seberleinpp@goodreads.com,38 Kensington Hill,Houston,texas,77085,Ratke Group,Employees,Managers,,,,,,,,,"ou=Sales,ou=Employees,ou=Accounts"
654,Pennie,Caroline,pencaroline,deperming,Accounting,Accounting Assistant I,(254) 9016133,pcarolinei5@cocolog-nifty.com,3 Dwight Crossing,Killeen,texas,76544,Hermiston-Blanda,Employees,Interns,,,,,,,,,"ou=Accounting,ou=Employees,ou=Accounts"
250,Anabal,Bradburne,anabradburne,monologs,Marketing,Accounting Assistant II,(210) 8426762,abradburne6x@photobucket.com,78226 Lindbergh Trail,San Antonio,texas,78225,"Cole, Terry and Simonis",Employees,,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
490,Tori,Orsman,tororsman,urbanity,Training,Accounting Assistant II,(713) 6158018,torsmandl@com.com,03 Toban Street,Houston,texas,77212,Pacocha Group,Employees,,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
940,Felicia,Wain,felwain,addicted,Research and Development,Accounting Assistant II,(817) 1049275,fwainq3@storify.com,99 Bowman Center,Fort Worth,texas,76129,Bechtelar-Marks,Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
147,Hurlee,Fonte,hurfonte,savours,Support,Accounting Assistant III,(915) 2577683,hfonte42@t-online.de,18 Utah Parkway,El Paso,texas,79940,Heidenreich Group,Employees,,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
881,Tome,Girardy,tomgirardy,lappering,Legal,Accounting Assistant III,(915) 6556898,tgirardyog@washingtonpost.com,72 East Plaza,El Paso,texas,88584,Stiedemann-Donnelly,Employees,,,,,,,,,,"ou=Legal,ou=Employees,ou=Accounts"
899,Janeva,Plaister,janplaister,solecize,Marketing,Accounting Assistant III,(806) 6150042,jplaisteroy@canalblog.com,4033 Northridge Alley,Lubbock,texas,79415,Franecki-Ullrich,Employees,,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
57,Matias,Feedome,matfeedome,spoilsman,Engineering,Accounting Assistant IV,(325) 3715434,mfeedome1k@ameblo.jp,5294 Loeprich Center,Abilene,texas,79605,O'Kon LLC,Employees,Managers,,,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
80,Leoine,Skoughman,leoskoughman,apodoses,Services,Accounting Assistant IV,(817) 9086900,lskoughman27@mail.ru,82 Birchwood Lane,Arlington,texas,76016,Hirthe-Grant,Employees,Managers,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
201,Reg,Wallsworth,regwallsworth,spirant,Services,Accounting Assistant IV,(915) 7620298,rwallsworth5k@buzzfeed.com,6 Ilene Plaza,El Paso,texas,79916,Doyle-Harris,Employees,Managers,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
456,Boyd,Raulin,boyraulin,slighted,Human Resources,Accounting Assistant IV,(214) 7073722,braulincn@unesco.org,619 Badeau Point,Dallas,texas,75210,Botsford-Hermiston,Employees,Managers,,,,,,,,,"ou=Human Resources,ou=Employees,ou=Accounts"
570,Cecelia,Dashper,cecdashper,misorient,Human Resources,Accounting Assistant IV,(915) 5288328,cdashperft@umich.edu,81432 Main Parkway,El Paso,texas,88584,Schmeler LLC,Employees,Managers,,,,,,,,,"ou=Human Resources,ou=Employees,ou=Accounts"
761,Gaby,De Vile,gabdevile,umbered,Engineering,Accounting Assistant IV,(432) 6464193,gdevilel4@tuttocitta.it,1 Eagan Street,Odessa,texas,79769,Satterfield Group,Employees,Managers,,,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
812,Malva,Paddon,malpaddon,ungluing,Accounting,Accounting Assistant IV,(214) 5962692,mpaddonmj@narod.ru,6 Roxbury Alley,Dallas,texas,75367,Heathcote-Schaden,Employees,Managers,,,,,,,,,"ou=Accounting,ou=Employees,ou=Accounts"
274,Odella,Cheel,odecheel,reedings,Research and Development,Actuary,(469) 1048352,ocheel7l@hao123.com,62 Ridgeview Crossing,Dallas,texas,75241,Weissnat-VonRueden,Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
282,Jodi,Nibley,jodnibley,unwinking,Services,Actuary,(915) 6569791,jnibley7t@lulu.com,4394 Calypso Road,El Paso,texas,88584,Walker and Sons,Employees,,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
298,Templeton,McVrone,temmcvrone,coenamor,Business Development,Actuary,(281) 8369944,tmcvrone89@1688.com,48404 Tennyson Trail,Houston,texas,77293,Kunde-Wintheiser,Employees,,,,,,,,,,"ou=Business Development,ou=Employees,ou=Accounts"
452,Harwell,Deneve,hardeneve,royalists,Training,Actuary,(682) 1458309,hdenevecj@shareasale.com,85532 Monterey Park,Fort Worth,texas,76178,Hane Group,Employees,,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
731,Jaclyn,Braz,jacbraz,dustrags,Research and Development,Actuary,(817) 8409162,jbrazka@blogspot.com,5739 Hoard Park,Fort Worth,texas,76134,"Jacobi, Hudson and Jakubowski",Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
842,Marcie,Eykel,mareykel,clachan,Marketing,Actuary,(214) 5343584,meykelnd@comsenz.com,7224 Scott Trail,Dallas,texas,75287,"Erdman, Goyette and Volkman",Employees,,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
918,Tomas,Rugieri,tomrugieri,preaged,Product Management,Actuary,(512) 4896614,trugieriph@taobao.com,03953 Parkside Place,Austin,texas,78764,Dach and Sons,Employees,,,,,,,,,,"ou=Product Management,ou=Employees,ou=Accounts"
1,Kristen,Jozefczak,krijozefczak,deafened,Training,Administrative Assistant I,(915) 5442175,kjozefczak0@hibu.com,396 Bunting Lane,El Paso,texas,88574,"Parisian, Altenwerth and Hodkiewicz",Employees,Interns,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
468,Garnette,Eccleshall,gareccleshall,wingchair,Legal,Administrative Assistant I,(713) 8924407,geccleshallcz@webnode.com,5640 American Park,Houston,texas,77276,"Stark, Dooley and Wyman",Employees,Interns,,,,,,,,,"ou=Legal,ou=Employees,ou=Accounts"
854,Camellia,Ortega,camortega,sunshade,Support,Administrative Assistant I,(281) 5036605,corteganp@fema.gov,131 Golf Course Center,Houston,texas,77075,Denesik Group,Employees,Interns,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
13,Bendicty,Hatrick,benhatrick,rollover,Human Resources,Administrative Assistant II,(512) 8700591,bhatrickc@unblog.fr,80341 Northview Parkway,Austin,texas,78749,"Ryan, Cremin and Connelly",Employees,,,,,,,,,,"ou=Human Resources,ou=Employees,ou=Accounts"
489,Elvira,Fadell,elvfadell,exegesis,Research and Development,Administrative Assistant II,(832) 1989814,efadelldk@cornell.edu,2 International Court,Houston,texas,77055,Kilback-Jacobson,Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
931,Abran,Crookall,abrcrookall,curlpaper,Training,Administrative Assistant II,(713) 9567357,acrookallpu@redcross.org,2 Summit Parkway,Houston,texas,77276,Haag-Anderson,Employees,,,,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
937,Guillema,Cardiff,guicardiff,enhancive,Support,Administrative Assistant II,(956) 5012407,gcardiffq0@dion.ne.jp,6 Weeping Birch Court,Laredo,texas,78044,"Lindgren, Leuschke and Mohr",Employees,,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
118,Clifford,Thorndycraft,clithorndycraft,azimuths,Accounting,Administrative Assistant III,(713) 8709867,cthorndycraft39@people.com.cn,6 Maple Wood Trail,Houston,texas,77025,Murphy-MacGyver,Employees,,,,,,,,,,"ou=Accounting,ou=Employees,ou=Accounts"
235,Sarette,Drayn,sardrayn,flickered,Human Resources,Administrative Assistant III,(806) 6077155,sdrayn6i@amazon.com,239 Northfield Center,Lubbock,texas,79491,Kozey-Pfannerstill,Employees,,,,,,,,,,"ou=Human Resources,ou=Employees,ou=Accounts"
622,Aeriel,Frenchum,aerfrenchum,whiners,Legal,Administrative Assistant III,(361) 7507594,afrenchumh9@goo.ne.jp,44 Annamark Plaza,Corpus Christi,texas,78470,Wisoky and Sons,Employees,,,,,,,,,,"ou=Legal,ou=Employees,ou=Accounts"
173,Gayelord,Whittaker,gaywhittaker,mislocate,Business Development,Administrative Assistant IV,(214) 2842962,gwhittaker4s@behance.net,392 Dawn Place,Plano,texas,75074,"Gusikowski, Breitenberg and Balistreri",Employees,Managers,,,,,,,,,"ou=Business Development,ou=Employees,ou=Accounts"
743,Brietta,McCalum,brimccalum,ultrafast,Engineering,Administrative Assistant IV,(512) 1062666,bmccalumkm@latimes.com,70 Mifflin Avenue,Austin,texas,78703,Hane-Brekke,Employees,Managers,,,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
172,Paxon,Mahomet,paxmahomet,capelets,Sales,Administrative Officer,(512) 9751532,pmahomet4r@smugmug.com,1742 Steensland Road,Austin,texas,78759,Moore-Spencer,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
280,Aimil,Lillico,aimlillico,barnacled,Support,Administrative Officer,(817) 2249404,alillico7r@dropbox.com,045 Garrison Plaza,Fort Worth,texas,76121,DuBuque LLC,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
318,Bruno,Church,bruchurch,debacle,Legal,Administrative Officer,(512) 3405749,bchurch8t@cyberchimps.com,32 Dorton Plaza,Austin,texas,78754,Johnston LLC,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
459,Melisenda,Cheeseman,melcheeseman,belayer,Services,Administrative Officer,(281) 9893564,mcheesemancq@house.gov,41 Jenna Street,Houston,texas,77293,"Keeling, Hirthe and Schuppe",Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
596,Adriano,Jukubczak,adrjukubczak,lupulin,Research and Development,Administrative Officer,(832) 4749620,ajukubczakgj@archive.org,70389 Little Fleur Park,Houston,texas,77266,Franecki-Herman,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
633,Deeyn,Trendle,deetrendle,enwinding,Support,Administrative Officer,(432) 3242075,dtrendlehk@google.nl,9 Sugar Road,Midland,texas,79705,Walter LLC,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
760,Giraud,Aistrop,giraistrop,cavitate,Training,Administrative Officer,(361) 4419568,gaistropl3@exblog.jp,729 Shelley Point,Corpus Christi,texas,78405,Dibbert-Grady,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
806,Inglebert,Hele,inghele,canvasses,Engineering,Administrative Officer,(817) 3226999,ihelemd@yellowpages.com,85 Mcbride Court,Fort Worth,texas,76134,Towne-Turcotte,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
890,Adelbert,Landman,adelandman,ritzier,Legal,Administrative Officer,(903) 9361749,alandmanop@soup.io,1204 Eagle Crest Crossing,Tyler,texas,75710,McCullough-Legros,Employees,Executives,Protected Users,,,,,,,,"ou=Executives,ou=Accounts"
56,Freddi,Vinson,frevinson,empyemata,Support,Analog Circuit Design manager,(979) 3300375,fvinson1j@tiny.cc,6 Hudson Plaza,Bryan,texas,77806,Pfannerstill-Jaskolski,Employees,,,,,,,,,,"ou=Support,ou=Managers,ou=Accounts"
157,Gerik,Burgum,gerburgum,refutable,Engineering,Analog Circuit Design manager,(512) 7980181,gburgum4c@baidu.com,19938 Lyons Center,Austin,texas,78726,Robel-Rempel,Employees,,,,,,,,,,"ou=Engineering,ou=Managers,ou=Accounts"
216,Sybille,Tomlett,sybtomlett,nestlike,Human Resources,Analog Circuit Design manager,(713) 7564130,stomlett5z@go.com,46421 Westerfield Park,Houston,texas,77035,Hauck-Blanda,Employees,,,,,,,,,,"ou=Human Resources,ou=Managers,ou=Accounts"
476,Ivy,Kirwood,ivykirwood,hillocky,Human Resources,Analog Circuit Design manager,(806) 3324456,ikirwoodd7@msn.com,52696 Leroy Road,Amarillo,texas,79176,D'Amore and Sons,Employees,,,,,,,,,,"ou=Human Resources,ou=Managers,ou=Accounts"
517,Danyette,Tobias,dantobias,liviers,Engineering,Analog Circuit Design manager,(817) 5743278,dtobiasec@goodreads.com,23046 1st Park,Fort Worth,texas,76129,Runolfsdottir-Hoppe,Employees,,,,,,,,,,"ou=Engineering,ou=Managers,ou=Accounts"
703,Petra,Riggulsford,petriggulsford,polished,Human Resources,Analog Circuit Design manager,(214) 7291024,priggulsfordji@ucsd.edu,8 Towne Drive,Dallas,texas,75372,Klein-Kuhn,Employees,,,,,,,,,,"ou=Human Resources,ou=Managers,ou=Accounts"
709,Joyann,Bloxholm,joybloxholm,bohemians,Legal,Analog Circuit Design manager,(832) 4361369,jbloxholmjo@tuttocitta.it,6915 Hanover Place,Spring,texas,77388,Krajcik-Beer,Employees,,,,,,,,,,"ou=Legal,ou=Managers,ou=Accounts"
880,Godfry,Swetenham,godswetenham,triplex,Legal,Analog Circuit Design manager,(214) 9393958,gswetenhamof@spiegel.de,7248 Gerald Point,Plano,texas,75074,Feil Group,Employees,,,,,,,,,,"ou=Legal,ou=Managers,ou=Accounts"
958,Car,Gildea,cargildea,tokamak,Product Management,Analog Circuit Design manager,(214) 7477914,cgildeaql@chronoengine.com,6020 Rusk Hill,Dallas,texas,75372,"Treutel, Olson and Kautzer",Employees,,,,,,,,,,"ou=Product Management,ou=Managers,ou=Accounts"
42,Lefty,Beumant,lefbeumant,stabler,Engineering,Analyst Programmer,(713) 6123709,lbeumant15@jiathis.com,090 Raven Plaza,Houston,texas,77245,Frami LLC,Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Engineering,ou=Employees,ou=Accounts"
124,Johna,Crown,johcrown,shasliks,Training,Analyst Programmer,(210) 2115552,jcrown3f@google.de,288 Loeprich Crossing,San Antonio,texas,78205,"Collier, Jacobi and Champlin",Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Training,ou=Employees,ou=Accounts"
205,Abigale,Plester,abiplester,obsidians,Research and Development,Analyst Programmer,(254) 7105935,aplester5o@rambler.ru,13725 Sunbrook Point,Gatesville,texas,76598,"Ondricka, Osinski and Murray",Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
438,Valene,Gameson,valgameson,loiters,Sales,Analyst Programmer,(817) 6387721,vgamesonc5@google.com,28 Charing Cross Crossing,Fort Worth,texas,76134,"Treutel, Hodkiewicz and Gulgowski",Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Sales,ou=Employees,ou=Accounts"
879,Pavia,Basezzi,pavbasezzi,lumbered,Research and Development,Analyst Programmer,(210) 3005015,pbasezzioe@zimbio.com,801 Caliangt Pass,San Antonio,texas,78240,"Renner, Hansen and Koss",Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
921,Rudolph,Ogdahl,rudogdahl,sunstones,Research and Development,Analyst Programmer,(361) 6762221,rogdahlpk@ycombinator.com,8 Stoughton Crossing,Corpus Christi,texas,78410,Thompson-Wintheiser,Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
954,Shelagh,Drance,shedrance,asexually,Research and Development,Analyst Programmer,(682) 6436260,sdranceqh@wisc.edu,5 Lyons Point,Fort Worth,texas,76178,Schoen Group,Employees,IT-Staff,Software Developer,Event Log Readers,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
38,Bart,Amsberger,baramsberger,hobbler,Product Management,Assistant Manager,(915) 4138739,bamsberger11@artisteer.com,95717 Rowland Hill,El Paso,texas,88569,Tromp and Sons,Employees,Managers,,,,,,,,,"ou=Product Management,ou=Managers,ou=Accounts"
64,Denver,Davydzenko,dendavydzenko,purflers,Business Development,Assistant Manager,(915) 8302071,ddavydzenko1r@soundcloud.com,994 Spenser Drive,El Paso,texas,88589,Volkman LLC,Employees,Managers,,,,,,,,,"ou=Business Development,ou=Managers,ou=Accounts"
209,Haley,Peyton,halpeyton,twanging,Business Development,Assistant Manager,(281) 6455883,hpeyton5s@dailymotion.com,237 Carpenter Point,Galveston,texas,77554,Ernser-Lesch,Employees,Managers,,,,,,,,,"ou=Business Development,ou=Managers,ou=Accounts"
270,Lora,Cant,lorcant,mooches,Legal,Assistant Manager,(512) 6187878,lcant7h@stumbleupon.com,99 Buell Way,Austin,texas,78749,"McGlynn, Swift and Huels",Employees,Managers,,,,,,,,,"ou=Legal,ou=Managers,ou=Accounts"
336,Brooks,Beacock,brobeacock,indulges,Training,Assistant Manager,(469) 8570987,bbeacock9b@smugmug.com,01 Summer Ridge Trail,Dallas,texas,75287,Hackett-Purdy,Employees,Managers,,,,,,,,,"ou=Training,ou=Managers,ou=Accounts"
